AAPL,2021-11-08 21:00:00 +0500 +05,112.0932057595924,119.57858711153375,100.25651818212722,104.57835173521198
SBER,2021-11-08 21:00:00 +0500 +05,218.81018176090026,219.98318980440666,200.03807789028474,206.48347926122776
NVDA,2021-11-08 21:00:00 +0500 +05,313.29120106436983,319.5383373717252,300.0102763103224,307.01530255294324
TSLA,2021-11-08 21:00:00 +0500 +05,408.7542837437396,419.9654762201699,400.39617340650904,406.9857749554852
AAPL,2021-11-08 21:10:00 +0500 +05,106.07604259708731,119.96666158600425,100.08978602983026,115.87598764232577
SBER,2021-11-08 21:10:00 +0500 +05,219.37492319931624,219.37492319931624,200.08889319596267,203.7121133754465
NVDA,2021-11-08 21:10:00 +0500 +05,313.43053100921674,319.78264184064045,300.0282308804977,312.8462202408825
TSLA,2021-11-08 21:10:00 +0500 +05,404.15886256746313,419.7198872001634,400.13253931093465,405.9552974760585
AAPL,2021-11-08 21:20:00 +0500 +05,114.18618620149279,119.99084822568959,100.27908859817751,117.0732834296868
SBER,2021-11-08 21:20:00 +0500 +05,216.67824646948307,219.85787635800042,200.04211259725002,218.89395533794496
NVDA,2021-11-08 21:20:00 +0500 +05,311.6094165321515,319.88738734231436,300.0450221871464,313.13514975985606
TSLA,2021-11-08 21:20:00 +0500 +05,412.884472748831,419.3969051365854,400.18813084357913,419.3969051365854
AAPL,2021-11-08 21:30:00 +0500 +05,101.2195684655317,119.79944780120822,100.35648324150522,104.11450612921114
SBER,2021-11-08 21:30:00 +0500 +05,218.98905344179107,219.96235474114704,200.4225010874714,202.86678937671562
NVDA,2021-11-08 21:30:00 +0500 +05,305.31964823012055,319.91145445656235,300.8736968659539,305.77256272116966
TSLA,2021-11-08 21:30:00 +0500 +05,403.8239430394507,419.93842654409394,400.18269672987594,406.9369329178805
NVDA,2021-11-08 21:40:00 +0500 +05,309.95037034963156,319.98855082119906,300.34248013258957,311.17112343888004
TSLA,2021-11-08 21:40:00 +0500 +05,408.4828723594831,419.75891299421596,400.0860283860036,417.020441574642
AAPL,2021-11-08 21:40:00 +0500 +05,113.92419001576886,119.83315042132861,100.01816306244767,104.16220535065366
SBER,2021-11-08 21:40:00 +0500 +05,209.03990541212892,219.96509583189064,200.15282726314146,209.61332748821812
SBER,2021-11-08 21:50:00 +0500 +05,214.99983338321087,219.82352198218885,200.44040570646757,214.6936503401837
NVDA,2021-11-08 21:50:00 +0500 +05,305.2842161551727,319.8248968114631,300.01724649305453,310.71219023111075
TSLA,2021-11-08 21:50:00 +0500 +05,406.04071644543444,419.99321646784307,400.1124192857264,402.09776231434535
AAPL,2021-11-08 21:50:00 +0500 +05,115.46135452540813,119.61101310762434,100.28860450630772,117.47408448207023
TSLA,2021-11-08 22:00:00 +0500 +05,400.5260127290808,419.7269447337708,400.37146557776674,411.4390923209219
AAPL,2021-11-08 22:00:00 +0500 +05,107.9330880188113,119.85331776260124,100.04028403858915,106.92930130200745
SBER,2021-11-08 22:00:00 +0500 +05,208.809404498405,219.96727680804656,200.26725385170423,207.90419191068585
NVDA,2021-11-08 22:00:00 +0500 +05,314.63237213502543,319.66893630930764,300.1181955626565,308.46178774485685
TSLA,2021-11-08 22:10:00 +0500 +05,408.94604830671506,419.2840951099314,400.0692959375835,418.62523496612863
AAPL,2021-11-08 22:10:00 +0500 +05,102.76525976177113,119.8444482521501,100.03302531239355,112.14948684008513
SBER,2021-11-08 22:10:00 +0500 +05,203.6543236217569,219.704051751723,200.14855946820794,213.45774876973837
NVDA,2021-11-08 22:10:00 +0500 +05,317.4488374428294,319.9880403384601,300.0488448945881,310.3601459658493
NVDA,2021-11-08 22:20:00 +0500 +05,314.34794128303605,319.97492558657694,300.02664213269964,300.36939300693535
TSLA,2021-11-08 22:20:00 +0500 +05,414.7734825081013,419.60369053793,400.46886400048623,410.42949114753617
AAPL,2021-11-08 22:20:00 +0500 +05,100.88516708142635,119.32602436341043,100.21622734320985,107.50235636858639
SBER,2021-11-08 22:20:00 +0500 +05,219.8265999164659,219.8265999164659,200.00194597149132,212.13921418660712
